dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.437565,5.300000,0.000199,0.019926,0.996310,49.815515,0.000001
0.020000,1.438343,5.300000,0.000977,0.038905,0.948962,-2.367411,0.000018
0.020000,1.440093,5.300000,0.002728,0.087538,2.431611,74.132437,0.000054
0.020000,1.443011,5.300000,0.005646,0.145897,2.917985,24.318697,0.000115
0.020000,1.447097,5.300001,0.009731,0.204259,2.918079,0.004695,0.000200
0.020000,1.452349,5.300002,0.014984,0.262623,2.918210,0.006575,0.000310
0.020000,1.458769,5.300005,0.021404,0.320991,2.918379,0.008454,0.000444
0.020000,1.466356,5.300009,0.028991,0.379362,2.918586,0.010335,0.000602
0.020000,1.475111,5.300015,0.037746,0.437739,2.918830,0.012217,0.000784
0.020000,1.485033,5.300024,0.047668,0.496121,2.919112,0.014099,0.000990
0.020000,1.496123,5.300036,0.058758,0.554510,2.919432,0.015984,0.001219
0.020000,1.508382,5.300052,0.071016,0.612906,2.919789,0.017870,0.001473
0.020000,1.521808,5.300074,0.084442,0.671309,2.920184,0.019757,0.001750
0.020000,1.536402,5.300102,0.099037,0.729722,2.920617,0.021647,0.002051
0.020000,1.552165,5.300137,0.114800,0.788144,2.921088,0.023539,0.002375
0.020000,1.569096,5.300180,0.131731,0.846575,2.921597,0.025433,0.002722
0.020000,1.587197,5.300232,0.149832,0.905018,2.922143,0.027329,0.003092
0.020000,1.606466,5.300296,0.169101,0.963473,2.922728,0.029228,0.003484
0.020000,1.626905,5.300371,0.189540,1.021940,2.923351,0.031129,0.003899
0.020000,1.648513,5.300460,0.211148,1.080420,2.924011,0.033033,0.004337
0.020000,1.671291,5.300564,0.233927,1.138914,2.924710,0.034940,0.004797
0.020000,1.695239,5.300685,0.257875,1.197423,2.925447,0.036849,0.005278
0.020000,1.720358,5.300824,0.282994,1.255948,2.926222,0.038762,0.005781
0.020000,1.746647,5.300983,0.309284,1.314488,2.927036,0.040677,0.006305
0.020000,1.774107,5.301163,0.336745,1.373046,2.927888,0.042596,0.006850
0.020000,1.802739,5.301367,0.365377,1.431622,2.928778,0.044517,0.007416
0.020000,1.832542,5.301597,0.395181,1.490216,2.929707,0.046442,0.008002
0.020000,1.863518,5.301854,0.426158,1.548829,2.930674,0.048369,0.008608
0.020000,1.895666,5.302141,0.458307,1.607463,2.931680,0.050299,0.009234
0.020000,1.928987,5.302460,0.491630,1.666117,2.932725,0.052232,0.009879
0.020000,1.963481,5.302812,0.526126,1.724794,2.933808,0.054168,0.010543
