dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.437568,2.970000,0.000199,0.019926,0.996310,49.815515,0.000001
0.020000,1.438384,2.970000,0.001015,0.040799,1.043659,2.367411,0.000018
0.020000,1.440220,2.970000,0.002851,0.091798,2.549941,75.314108,0.000054
0.020000,1.443280,2.970000,0.005911,0.152996,3.059877,25.496820,0.000115
0.020000,1.447563,2.970001,0.010195,0.214191,3.059783,-0.004697,0.000200
0.020000,1.453071,2.970002,0.015703,0.275384,3.059652,-0.006574,0.000310
0.020000,1.459803,2.970005,0.022434,0.336574,3.059483,-0.008455,0.000444
0.020000,1.467758,2.970009,0.030389,0.397760,3.059276,-0.010335,0.000602
0.020000,1.476937,2.970015,0.039568,0.458940,3.059032,-0.012216,0.000784
0.020000,1.487339,2.970025,0.049970,0.520115,3.058750,-0.014100,0.000990
0.020000,1.498965,2.970038,0.061596,0.581284,3.058430,-0.015984,0.001219
0.020000,1.511813,2.970055,0.074445,0.642445,3.058072,-0.017869,0.001473
0.020000,1.525885,2.970078,0.088517,0.703599,3.057677,-0.019758,0.001750
0.020000,1.541180,2.970107,0.103812,0.764744,3.057244,-0.021647,0.002051
0.020000,1.557698,2.970143,0.120329,0.825879,3.056774,-0.023539,0.002375
0.020000,1.575438,2.970188,0.138070,0.887004,3.056265,-0.025433,0.002722
0.020000,1.594400,2.970243,0.157032,0.948119,3.055718,-0.027330,0.003092
0.020000,1.614584,2.970310,0.177216,1.009222,3.055134,-0.029228,0.003484
0.020000,1.635990,2.970389,0.198623,1.070312,3.054511,-0.031130,0.003899
0.020000,1.658618,2.970482,0.221250,1.131389,3.053850,-0.033034,0.004337
0.020000,1.682467,2.970591,0.245099,1.192452,3.053152,-0.034940,0.004797
0.020000,1.707537,2.970717,0.270169,1.253500,3.052415,-0.036850,0.005278
0.020000,1.733827,2.970863,0.296460,1.314533,3.051639,-0.038763,0.005781
0.020000,1.761337,2.971029,0.323971,1.375549,3.050826,-0.040678,0.006305
0.020000,1.790068,2.971218,0.352702,1.436549,3.049974,-0.042596,0.006850
0.020000,1.820017,2.971431,0.382653,1.497531,3.049084,-0.044518,0.007416
0.020000,1.851186,2.971672,0.413822,1.558494,3.048155,-0.046442,0.008002
0.020000,1.883574,2.971941,0.446211,1.619437,3.047187,-0.048370,0.008608
0.020000,1.917180,2.972241,0.479818,1.680361,3.046181,-0.050300,0.009234
0.020000,1.952004,2.972573,0.514644,1.741264,3.045137,-0.052233,0.009879
0.020000,1.988045,2.972941,0.550687,1.802145,3.044053,-0.054169,0.010543
0.020000,2.025303,2.973347,0.587947,1.863003,3.042931,-0.056108,0.011225
0.020000,2.063777,2.973792,0.626423,1.923839,3.041770,-0.058049,0.011926
0.020000,2.103467,2.974280,0.666116,1.984650,3.040570,-0.059993,0.012644
0.020000,2.144372,2.974812,0.707025,2.045437,3.039331,-0.061940,0.013380
0.020000,2.186492,2.975392,0.749149,2.106198,3.038054,-0.063889,0.014132
0.020000,2.229826,2.976021,0.792488,2.166933,3.036737,-0.065840,0.014901
0.020000,2.274374,2.976702,0.837041,2.227640,3.035381,-0.067793,0.015686
0.020000,2.320134,2.977438,0.882807,2.288320,3.033986,-0.069748,0.016487
0.020000,2.367107,2.978232,0.929786,2.348971,3.032552,-0.071704,0.017302
0.020000,2.415291,2.979086,0.977978,2.409593,3.031079,-0.073662,0.018132
0.020000,2.464686,2.980002,1.027382,2.470184,3.029566,-0.075622,0.018976
0.020000,2.515292,2.980985,1.077997,2.530744,3.028015,-0.077582,0.019833
0.020000,2.567106,2.982035,1.129822,2.591273,3.026424,-0.079544,0.020703
0.020000,2.620130,2.983156,1.182858,2.651769,3.024794,-0.081506,0.021585
0.020000,2.674361,2.984351,1.237102,2.712231,3.023124,-0.083469,0.022479
0.020000,2.729800,2.985623,1.292555,2.772659,3.021416,-0.085431,0.023385
0.020000,2.786445,2.986974,1.349217,2.833053,3.019668,-0.087394,0.024300
0.020000,2.844295,2.988407,1.407085,2.893410,3.017881,-0.089356,0.025226
0.020000,2.903351,2.989924,1.466159,2.953731,3.016054,-0.091318,0.026161
0.020000,2.963610,2.991530,1.526440,3.014015,3.014189,-0.093279,0.027105
0.020000,3.025071,2.993225,1.587925,3.074261,3.012284,-0.095239,0.028057
0.020000,3.087735,2.995014,1.650614,3.134468,3.010340,-0.097198,0.029016
0.020000,3.151600,2.996899,1.714507,3.194635,3.008357,-0.099155,0.029982
