dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003624,14.732000,0.003704,0.148148,2.962963,59.259259,0.000000
0.050000,0.014735,14.732000,0.014815,0.222222,1.481481,-29.629630,0.000000
0.050000,0.033253,14.732000,0.033333,0.370370,2.962963,29.629630,0.000000
0.050000,0.059179,14.732000,0.059259,0.518519,2.962963,0.000000,0.000000
0.050000,0.092513,14.732000,0.092593,0.666667,2.962963,-0.000000,0.000000
0.050000,0.133253,14.732000,0.133333,0.814815,2.962963,0.000000,0.000000
0.050000,0.181401,14.732000,0.181481,0.962963,2.962963,-0.000000,0.000000
0.050000,0.236957,14.732000,0.237037,1.111111,2.962963,0.000000,0.000000
0.050000,0.299920,14.732000,0.300000,1.259259,2.962963,-0.000000,0.000000
0.050000,0.370290,14.732000,0.370370,1.407407,2.962963,0.000000,0.000000
0.050000,0.448068,14.732000,0.448148,1.555556,2.962963,0.000000,0.000000
0.050000,0.533253,14.732000,0.533333,1.703704,2.962963,0.000000,0.000000
0.050000,0.625846,14.732000,0.625926,1.851852,2.962963,0.000000,0.000000
0.050000,0.725846,14.732000,0.725926,2.000000,2.962963,-0.000000,0.000000
0.050000,0.833253,14.732000,0.833333,2.148148,2.962963,0.000000,0.000000
0.050000,0.948068,14.732000,0.948148,2.296296,2.962963,0.000000,0.000000
0.050000,1.070290,14.732000,1.070370,2.444444,2.962963,-0.000000,0.000000
0.050000,1.199920,14.732000,1.200000,2.592593,2.962963,0.000000,0.000000
0.050000,1.336957,14.732000,1.337037,2.740741,2.962963,0.000000,0.000000
0.050000,1.481401,14.732000,1.481481,2.888889,2.962963,0.000000,0.000000
0.050000,1.633253,14.732000,1.633333,3.037037,2.962963,-0.000000,0.000000
0.050000,1.792513,14.732000,1.792593,3.185185,2.962963,-0.000000,0.000000
0.050000,1.959179,14.732000,1.959259,3.333333,2.962963,0.000000,0.000000
0.050000,2.133253,14.732000,2.133333,3.481481,2.962963,-0.000000,0.000000
0.050000,2.314735,14.732000,2.314815,3.629630,2.962963,0.000000,0.000000
0.050000,2.503624,14.732000,2.503704,3.777778,2.962963,0.000000,0.000000
0.050000,2.699920,14.732000,2.700000,3.925926,2.962963,-0.000000,0.000000
0.050000,2.899920,14.732000,2.900000,4.000000,1.481481,-29.629630,0.000000
0.050000,3.099920,14.732000,3.100000,4.000000,0.000000,-29.629630,0.000000
0.050000,3.299920,14.732000,3.300000,4.000000,0.000000,-0.000000,0.000000
0.050000,3.499920,14.732000,3.500000,4.000000,-0.000000,-0.000000,0.000000
0.050000,3.699920,14.732000,3.700000,4.000000,0.000000,0.000000,0.000000
0.050000,3.899920,14.732000,3.900000,4.000000,-0.000000,-0.000000,0.000000
0.050000,4.099920,14.732000,4.100000,4.000000,0.000000,0.000000,0.000000
0.050000,4.299920,14.732000,4.300000,4.000000,0.000000,-0.000000,0.000000
0.050000,4.499920,14.732000,4.500000,4.000000,0.000000,-0.000000,0.000000
0.050000,4.699920,14.732000,4.700000,4.000000,0.000000,0.000000,0.000000
0.050000,4.899920,14.732000,4.900000,4.000000,0.000000,0.000000,0.000000
0.050000,5.099920,14.732000,5.100000,4.000000,-0.000000,-0.000000,0.000000
0.050000,5.299920,14.732000,5.300000,4.000000,0.000000,0.000000,0.000000
0.050000,5.499920,14.732000,5.500000,4.000000,0.000000,-0.000000,0.000000
0.050000,5.699920,14.732000,5.700000,4.000000,0.000000,0.000000,0.000000
0.050000,5.899920,14.732000,5.900000,4.000000,0.000000,0.000000,0.000000
0.050000,6.099920,14.732000,6.100000,4.000000,-0.000000,-0.000000,0.000000
0.050000,6.299920,14.732000,6.300000,4.000000,0.000000,0.000000,0.000000
0.050000,6.499920,14.732000,6.500000,4.000000,0.000000,-0.000000,0.000000
0.050000,6.699920,14.732000,6.700000,4.000000,0.000000,0.000000,0.000000
0.050000,6.899920,14.732000,6.900000,4.000000,0.000000,0.000000,0.000000
0.050000,7.099920,14.732000,7.100000,4.000000,-0.000000,-0.000000,0.000000
0.050000,7.299920,14.732000,7.300000,4.000000,0.000000,0.000000,0.000000
0.050000,7.499920,14.732000,7.500000,4.000000,0.000000,-0.000000,0.000000
0.050000,7.699920,14.732000,7.700000,4.000000,0.000000,0.000000,0.000000
0.050000,7.899920,14.732000,7.900000,4.000000,0.000000,0.000000,0.000000
0.050000,8.092990,14.732434,8.093071,3.861412,-2.771768,-55.435359,0.009352
0.050000,8.279045,14.735936,8.279158,3.721757,-2.793084,-0.426315,0.028354
0.050000,8.464744,14.742996,8.464992,3.716665,-0.101839,53.824904,0.047703
0.050000,8.650025,14.753664,8.650579,3.711755,-0.098217,0.072433,0.067388
0.050000,8.834823,14.767989,8.835932,3.707056,-0.093977,0.084789,0.087394
0.050000,9.019074,14.786015,9.021062,3.702600,-0.089111,0.097329,0.107704
0.050000,9.202709,14.807781,9.205983,3.698419,-0.083617,0.109886,0.128299
0.050000,9.385662,14.833322,9.390710,3.694544,-0.077503,0.122275,0.149159
0.050000,9.567865,14.862667,9.575261,3.691005,-0.070788,0.134295,0.170260
0.050000,9.749247,14.895842,9.759652,3.687830,-0.063501,0.145737,0.191579
0.050000,9.929741,14.932866,9.943904,3.685046,-0.055682,0.156385,0.213087
0.050000,10.109279,14.973751,10.128038,3.682677,-0.047381,0.166032,0.234757
0.050000,10.287791,15.018506,10.312075,3.680744,-0.038657,0.174475,0.256559
0.050000,10.465211,15.067132,10.496039,3.679265,-0.029580,0.181534,0.278463
0.050000,10.641474,15.119624,10.679951,3.678253,-0.020228,0.187050,0.300435
0.050000,10.816514,15.175972,10.863837,3.677719,-0.010683,0.190897,0.322443
0.050000,10.990269,15.236158,11.047721,3.677668,-0.001034,0.192985,0.344456
0.050000,11.162678,15.300159,11.231626,3.678099,0.008630,0.193264,0.366438
0.050000,11.333682,15.367947,11.415576,3.679010,0.018216,0.191728,0.388359
0.050000,11.503227,15.439486,11.599596,3.680392,0.027637,0.188413,0.410185
0.050000,11.671258,15.514735,11.783707,3.682232,0.036807,0.183396,0.431885
0.050000,11.837727,15.593650,11.967933,3.684514,0.045646,0.176793,0.453430
0.050000,12.002584,15.676178,12.152294,3.687219,0.054084,0.168751,0.474790
0.050000,12.165788,15.762263,12.336810,3.690321,0.062056,0.159446,0.495938
0.050000,12.327297,15.851847,12.521500,3.693797,0.069510,0.149074,0.516849
0.050000,12.487075,15.944863,12.706381,3.697617,0.076402,0.137842,0.537499
0.050000,12.645088,16.041244,12.891468,3.701752,0.082700,0.125963,0.557867
0.050000,12.801306,16.140919,13.076777,3.706171,0.088382,0.113651,0.577933
0.050000,12.955704,16.243814,13.262319,3.710843,0.093438,0.101108,0.597680
0.050000,13.108258,16.349851,13.448106,3.715736,0.097864,0.088525,0.617093
0.050000,13.258949,16.458953,13.634147,3.720820,0.101668,0.076078,0.636159
0.050000,13.407763,16.571040,13.820450,3.726063,0.104864,0.063920,0.654867
0.050000,13.554687,16.686029,14.007022,3.731436,0.107473,0.052183,0.673208
0.050000,13.699711,16.803839,14.193867,3.736912,0.109522,0.040976,0.691175
0.050000,13.842830,16.924388,14.380991,3.742465,0.111041,0.030386,0.708763
0.050000,13.984042,17.047592,14.568394,3.748068,0.112065,0.020478,0.725968
0.050000,14.123346,17.173369,14.756079,3.753699,0.112630,0.011297,0.742789
0.050000,14.260746,17.301638,14.944046,3.759338,0.112773,0.002869,0.759225
0.050000,14.396247,17.432317,15.132294,3.764965,0.112534,-0.004798,0.775276
0.050000,14.529487,17.564978,15.320315,3.760417,-0.090949,-4.069646,0.791443
0.050000,14.660529,17.699823,15.508345,3.760605,0.003746,1.893892,0.807793
0.050000,14.789875,17.837224,15.697050,3.774089,0.269700,5.319077,0.823221
0.050000,14.917601,17.977040,15.886424,3.787480,0.267801,-0.037966,0.837735
0.050000,15.043788,18.119134,16.076461,3.800737,0.265146,-0.053108,0.851344
0.050000,15.168523,18.263372,16.267152,3.813832,0.261910,-0.064719,0.864059
0.050000,15.291895,18.409623,16.458489,3.826745,0.258253,-0.073139,0.875892
0.050000,15.413997,18.557761,16.650462,3.839461,0.254317,-0.078719,0.886856
0.050000,15.534923,18.707664,16.843061,3.851972,0.250227,-0.081804,0.896966
0.050000,15.654773,18.859215,17.036275,3.864277,0.246091,-0.082721,0.906236
0.050000,15.773648,19.012298,17.230094,3.876377,0.242002,-0.081777,0.914679
0.050000,15.891650,19.166805,17.424508,3.888279,0.238040,-0.079251,0.922310
0.050000,16.008884,19.322629,17.619507,3.899992,0.234270,-0.075394,0.929141
0.050000,16.125457,19.479667,17.815084,3.911530,0.230749,-0.070425,0.935183
0.050000,16.241476,19.637820,18.011229,3.922906,0.227522,-0.064540,0.940449
0.050000,16.357052,19.796992,18.207936,3.934137,0.224626,-0.057907,0.944947
0.050000,16.472296,19.957090,18.405198,3.945242,0.222093,-0.050668,0.948688
0.050000,16.587320,20.118021,18.603010,3.956239,0.219945,-0.042949,0.951677
0.050000,16.702240,20.279698,18.801367,3.967149,0.218203,-0.034857,0.953920
0.050000,16.817169,20.442032,19.000267,3.977993,0.216878,-0.026481,0.955424
0.050000,16.932226,20.604937,19.199707,3.988792,0.215983,-0.017904,0.956189
0.050000,17.047528,20.768328,19.399685,3.999569,0.215523,-0.009197,0.956219
0.050000,17.163197,20.932120,19.600202,4.010344,0.215502,-0.000424,0.955512
0.050000,17.279354,21.096228,19.801259,4.021140,0.215920,0.008350,0.954068
0.050000,17.396122,21.260567,20.002858,4.031978,0.216773,0.017064,0.951884
0.050000,17.513626,21.425051,20.205002,4.042881,0.218056,0.025651,0.948955
0.050000,17.631995,21.589592,20.407696,4.053869,0.219758,0.034041,0.945275
0.050000,17.751356,21.754099,20.610944,4.064962,0.221865,0.042155,0.940837
0.050000,17.871840,21.918482,20.814753,4.076180,0.224360,0.049901,0.935633
0.050000,17.993579,22.082645,21.019130,4.087541,0.227219,0.057175,0.929653
0.050000,18.116709,22.246489,21.224083,4.099062,0.230412,0.063855,0.922886
0.050000,18.241363,22.409912,21.429621,4.110757,0.233902,0.069796,0.915320
0.050000,18.367681,22.572805,21.635753,4.122639,0.237643,0.074835,0.906943
0.050000,18.495800,22.735056,21.842489,4.134718,0.241582,0.078779,0.897740
0.050000,18.625859,22.896545,22.049839,4.147001,0.245653,0.081410,0.887697
0.050000,18.757998,23.057146,22.257813,4.159490,0.249777,0.082481,0.876802
0.050000,18.892357,23.216725,22.466422,4.172183,0.253863,0.081715,0.865039
0.050000,19.029074,23.375141,22.675676,4.185073,0.257803,0.078808,0.852396
0.050000,19.168286,23.532243,22.885583,4.198147,0.261475,0.073435,0.838859
0.050000,19.310128,23.687871,23.096152,4.211383,0.264737,0.065250,0.824418
0.050000,19.454731,23.841856,23.307390,4.224755,0.267433,0.053908,0.809063
0.050000,19.602219,23.994019,23.519301,4.238224,0.269386,0.039065,0.792787
0.050000,19.752712,24.144170,23.731889,4.251745,0.270406,0.020407,0.775588
0.050000,19.906320,24.292108,23.945152,4.265259,0.270290,-0.002328,0.757465
0.050000,20.063143,24.437624,24.159087,4.278700,0.268824,-0.029324,0.738424
0.050000,20.223268,24.580497,24.373686,4.291990,0.265791,-0.060652,0.718474
0.050000,20.386771,24.720498,24.588938,4.305039,0.260979,-0.096235,0.697633
0.050000,20.553706,24.857393,24.804826,4.317748,0.254189,-0.135815,0.675923
0.050000,20.724112,24.990937,25.021326,4.330010,0.245243,-0.178917,0.653375
0.050000,20.898007,25.120886,25.238412,4.341711,0.234001,-0.224831,0.630028
0.050000,21.075385,25.246992,25.456048,4.352729,0.220371,-0.272599,0.605927
