dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.441240,4.866999,0.003749,0.149957,2.999130,59.982604,6.282882
0.050000,1.453197,4.866990,0.015706,0.239137,1.783605,-24.310503,6.281911
0.050000,1.473122,4.866949,0.035631,0.398509,3.187442,28.076731,6.280298
0.050000,1.501012,4.866837,0.063521,0.557802,3.185864,-0.031548,6.278047
0.050000,1.536861,4.866601,0.099371,0.716984,3.183647,-0.044344,6.275166
0.050000,1.580660,4.866173,0.143172,0.876023,3.180782,-0.057304,6.271665
0.050000,1.632399,4.865470,0.194916,1.034886,3.177259,-0.070453,6.267555
0.050000,1.692067,4.864397,0.254593,1.193540,3.173069,-0.083806,6.262851
0.050000,1.759646,4.862844,0.322191,1.351950,3.168201,-0.097361,6.257569
0.050000,1.835120,4.860689,0.397695,1.510082,3.162646,-0.111097,6.251729
0.050000,1.918465,4.857800,0.481090,1.667902,3.156397,-0.124970,6.245352
0.050000,2.009656,4.854033,0.572358,1.825375,3.149451,-0.138925,6.238461
0.050000,2.108663,4.849235,0.671482,1.982465,3.141807,-0.152877,6.231083
0.050000,2.215452,4.843245,0.778439,2.139139,3.133471,-0.166729,6.223246
0.050000,2.329984,4.835895,0.893207,2.295361,3.124453,-0.180365,6.214982
0.050000,2.452217,4.827012,1.015762,2.451100,3.114770,-0.193654,6.206322
0.050000,2.582102,4.816417,1.146078,2.606322,3.104447,-0.206455,6.197302
0.050000,2.719586,4.803931,1.284128,2.760998,3.093516,-0.218627,6.187960
0.050000,2.864612,4.789371,1.429883,2.915099,3.082015,-0.230023,6.178334
0.050000,3.017117,4.772557,1.583313,3.068598,3.069989,-0.240508,6.168467
0.050000,3.177037,4.753310,1.744386,3.221473,3.057492,-0.249952,6.158400
0.050000,3.344300,4.731456,1.913071,3.373702,3.044579,-0.258256,6.148178
0.050000,3.518834,4.706824,2.089335,3.525267,3.031312,-0.265338,6.137846
0.050000,3.700562,4.679253,2.273142,3.676155,3.017755,-0.271144,6.127450
0.050000,3.889407,4.648588,2.464460,3.826354,3.003972,-0.275664,6.117038
0.050000,4.085287,4.614687,2.663253,3.975855,2.990026,-0.278918,6.106657
0.050000,4.288124,4.577416,2.869485,4.124654,2.975977,-0.280968,6.096355
0.050000,4.497837,4.536658,3.083123,4.272748,2.961882,-0.281916,6.086180
0.050000,4.714348,4.492306,3.304130,4.420137,2.947787,-0.281896,6.076180
0.050000,4.937580,4.444273,3.532471,4.566824,2.933732,-0.281091,6.066404
0.050000,5.167460,4.392485,3.768111,4.712811,2.919747,-0.279707,6.056898
0.050000,5.403917,4.336888,4.011017,4.858103,2.905848,-0.277977,6.047712
0.050000,5.646886,4.277446,4.261152,5.002705,2.892040,-0.276169,6.038891
0.050000,5.896309,4.214142,4.518483,5.146621,2.878312,-0.274561,6.030483
0.050000,6.152133,4.146981,4.782976,5.289853,2.864639,-0.273450,6.022535
0.050000,6.414312,4.075990,5.054596,5.432402,2.850981,-0.273152,6.015092
0.050000,6.682808,4.001218,5.333309,5.574266,2.837282,-0.273983,6.008203
0.050000,6.957593,3.922740,5.619081,5.715440,2.823468,-0.276277,6.001913
0.050000,7.238647,3.840654,5.911877,5.855912,2.809450,-0.280365,5.996271
0.050000,7.525959,3.755087,6.211660,5.995668,2.795120,-0.286600,5.991326
0.050000,7.819530,3.666192,6.518394,6.134686,2.780354,-0.295332,5.987129
0.050000,8.119368,3.574153,6.832041,6.272936,2.765007,-0.306931,5.983731
0.050000,8.425496,3.479187,7.152560,6.410382,2.748918,-0.321777,5.981188
0.050000,8.737943,3.381544,7.479909,6.546977,2.731905,-0.340267,5.979557
0.050000,9.056751,3.281512,7.814042,6.682665,2.713764,-0.362817,5.978902
0.050000,9.381971,3.179418,8.154911,6.817379,2.694271,-0.389857,5.979287
0.050000,9.713666,3.075633,8.502463,6.951038,2.673180,-0.421829,5.980786
0.050000,10.051903,2.970577,8.856641,7.083549,2.650221,-0.459178,5.983476
0.050000,10.396762,2.864719,9.217381,7.214804,2.625104,-0.502327,5.987443
0.050000,10.748326,2.758588,9.584615,7.344680,2.597522,-0.551649,5.992782
0.050000,11.106682,2.652775,9.958267,7.473038,2.567152,-0.607404,5.999595
0.050000,11.471921,2.547941,10.338253,7.599721,2.533668,-0.669671,6.007998
0.050000,11.844129,2.444823,10.724481,7.724559,2.496758,-0.738199,6.018116
0.050000,12.223388,2.344246,11.116849,7.847367,2.456146,-0.812249,6.030087
0.050000,12.609765,2.247122,11.515247,7.967948,2.411630,-0.890315,6.044064
0.050000,13.003311,2.154471,11.919552,8.086105,2.363142,-0.969766,6.060211
0.050000,13.404047,2.067418,12.329634,8.201646,2.310823,-1.046376,6.078707
0.050000,13.808350,1.987879,12.741687,8.241059,0.788244,-30.451576,6.099545
0.050000,14.209060,1.918107,13.148426,8.134773,-2.125708,-58.279048,6.122435
0.050000,14.602575,1.859203,13.546325,7.957993,-3.535612,-28.198069,6.147156
0.050000,14.988746,1.811470,13.935435,7.782197,-3.515911,0.394008,6.173640
0.050000,15.367391,1.775141,14.315819,7.607673,-3.490488,0.508464,6.201801
