dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.440795,3.402999,0.003749,0.149957,2.999130,59.982604,6.282882
0.050000,1.451332,3.402991,0.014286,0.210733,1.215525,-35.672108,6.281911
0.050000,1.468896,3.402955,0.031849,0.351274,2.810818,31.905854,6.280298
0.050000,1.493490,3.402856,0.056444,0.491893,2.812393,0.031517,6.278047
0.050000,1.525121,3.402648,0.088075,0.632624,2.814608,0.044303,6.275166
0.050000,1.563794,3.402270,0.126750,0.773497,2.817471,0.057251,6.271665
0.050000,1.609517,3.401649,0.172477,0.914547,2.820991,0.070391,6.267555
0.050000,1.662299,3.400700,0.225268,1.055806,2.825178,0.083738,6.262851
0.050000,1.722148,3.399324,0.285133,1.197308,2.830042,0.097287,6.257569
0.050000,1.789075,3.397413,0.352087,1.339087,2.835593,0.111017,6.251729
0.050000,1.863090,3.394847,0.426146,1.481179,2.841837,0.124891,6.245352
0.050000,1.944201,3.391497,0.507327,1.623618,2.848779,0.138844,6.238461
0.050000,2.032420,3.387221,0.595649,1.766439,2.856419,0.152800,6.231083
0.050000,2.127754,3.381874,0.691133,1.909677,2.864752,0.166658,6.223246
0.050000,2.230211,3.375299,0.793801,2.053365,2.873767,0.180301,6.214982
0.050000,2.339799,3.367334,0.903678,2.197538,2.883447,0.193600,6.206322
0.050000,2.456523,3.357813,1.020789,2.342226,2.893768,0.206416,6.197302
0.050000,2.580386,3.346563,1.145162,2.487461,2.904698,0.218602,6.187960
0.050000,2.711391,3.333411,1.276826,2.633271,2.916199,0.230015,6.178334
0.050000,2.849538,3.318180,1.415810,2.779682,2.928225,0.240515,6.168467
0.050000,2.994825,3.300694,1.562146,2.926718,2.940724,0.249983,6.158400
0.050000,3.147250,3.280778,1.715866,3.074400,2.953639,0.258305,6.148178
0.050000,3.306806,3.258259,1.877003,3.222746,2.966909,0.265404,6.137846
0.050000,3.473487,3.232970,2.045592,3.371769,2.980471,0.271233,6.127450
0.050000,3.647285,3.204749,2.221666,3.521482,2.994260,0.275771,6.117038
0.050000,3.828190,3.173438,2.405261,3.671893,3.008212,0.279041,6.106657
0.050000,4.016192,3.138893,2.596411,3.823006,3.022267,0.281106,6.096355
0.050000,4.211283,3.100976,2.795152,3.974825,3.036370,0.282063,6.086180
0.050000,4.413452,3.059562,3.001520,4.127348,3.050473,0.282057,6.076180
0.050000,4.622692,3.014539,3.215548,4.280575,3.064536,0.281257,6.066404
0.050000,4.838996,2.965808,3.437273,4.434502,3.078529,0.279873,6.056898
